0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:24:38 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:24:38 +0900] "GET /jsp/asset/js/cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:24:44 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 379710
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:27:48 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:27:48 +0900] "GET /jsp/asset/js/cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:28:38 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:28:38 +0900] "GET /jsp/asset/js/cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:28:53 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:29:05 +0900] "GET /jsp/ex13_cookie.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:29:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:31:49 +0900] "GET /jsp/asset/css/bootstrap.css.map HTTP/1.1" 200 379710
